controllers.TD.ntuple.TDNTupleAgt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, learnFromRM: false

run, gameNum, evalQ, evalT, evalM
2, 6000, 0.0, 0.3531102071947753, 0.885
2, 6500, 0.0, 0.35374303664306117, 0.9299999999999999
2, 7000, -0.1, 0.35339366436450614, 0.925
2, 7500, 0.0, 0.35470477780571974, 0.935
2, 8000, 0.0, 0.3554113418211047, 0.9450000000000001
2, 8500, 0.0, 0.3559876998502555, 0.94
2, 9000, 0.0, 0.3570386817305522, 0.965
2, 9500, 0.0, 0.3578650136067316, 0.9199999999999999
2, 10000, 0.0, 0.35800112167459297, 0.925
3, 500, -0.5, 0.26018408542682353, 0.6399999999999999
3, 1000, -0.4, 0.32623456738826406, 0.81
3, 1500, -0.5, 0.32647824746338205, 0.7749999999999999
3, 2000, -0.55, 0.32739456377657233, 0.86
3, 2500, -0.45, 0.3269035868526807, 0.74
3, 3000, -0.05, 0.35496384660618024, 0.865
3, 3500, 0.0, 0.3553674538258334, 0.94
3, 4000, 0.0, 0.35576393788954574, 0.895
3, 4500, 0.0, 0.3537930814312724, 0.87
3, 5000, 0.0, 0.35333631548790906, 0.875
3, 5500, 0.0, 0.35336545537362474, 0.915
3, 6000, 0.0, 0.35323812471319793, 0.87
3, 6500, 0.0, 0.3542113930651641, 0.885
3, 7000, 0.0, 0.35572551389486695, 0.885
3, 7500, 0.0, 0.35636709497465613, 0.9199999999999999
3, 8000, 0.0, 0.35814515011096665, 0.89
3, 8500, 0.0, 0.35894876264623604, 0.94
3, 9000, 0.0, 0.3589958454383253, 0.9450000000000001
3, 9500, 0.0, 0.3587920683856114, 0.94
3, 10000, 0.0, 0.35892010944882585, 0.9650000000000001
4, 500, -0.1, 0.3255100451704176, 0.925
4, 1000, -0.25, 0.35754924567823865, 0.8899999999999999
4, 1500, -0.25, 0.3239994422199512, 0.84
4, 2000, -0.3, 0.3244947027363307, 0.895
4, 2500, -0.3, 0.32348859714407857, 0.87
4, 3000, 0.0, 0.3535874666863943, 0.895
4, 3500, -0.05, 0.3538719482364827, 0.9099999999999999
4, 4000, 0.0, 0.3529117824078711, 0.885
4, 4500, -0.1, 0.3183122966057974, 0.875
4, 5000, 0.0, 0.3493335469803493, 0.925
4, 5500, 0.0, 0.35021939719058226, 0.9
4, 6000, 0.0, 0.35255541859286715, 0.9199999999999999
4, 6500, 0.0, 0.3528192468490525, 0.9299999999999999
4, 7000, -0.05, 0.353741797629844, 0.925
4, 7500, 0.0, 0.3547648948271056, 0.9299999999999999
4, 8000, 0.0, 0.3553953335069413, 0.9299999999999999
4, 8500, 0.0, 0.3568709053637036, 0.9550000000000001
4, 9000, 0.0, 0.35758574984899094, 0.97
4, 9500, 0.0, 0.3578917267724287, 0.96
4, 10000, 0.0, 0.35793502273500566, 0.855
5, 500, -0.1, 0.32702246531793233, 0.8099999999999999
5, 1000, -0.35, 0.25970398084197355, 0.81
5, 1500, -0.3, 0.2591557657315373, 0.78
5, 2000, -0.3, 0.259435743340535, 0.7949999999999999
5, 2500, -0.25, 0.2915448061949456, 0.84
5, 3000, -0.25, 0.28637678964250524, 0.875
5, 3500, -0.2, 0.28690442494377216, 0.94
5, 4000, -0.1, 0.3195011560898926, 0.895
5, 4500, 0.0, 0.35249960368008515, 0.8899999999999999
5, 5000, 0.0, 0.35119834744182593, 0.855
5, 5500, 0.0, 0.35109876568801573, 0.8999999999999999
5, 6000, 0.0, 0.3520296802887335, 0.905
5, 6500, 0.0, 0.35182172190637623, 0.96
5, 7000, 0.0, 0.3548644467919416, 0.925
5, 7500, 0.0, 0.35641611150876984, 0.915
5, 8000, 0.0, 0.35790923695014193, 0.94
5, 8500, 0.0, 0.3595255532554912, 0.9450000000000001
5, 9000, 0.0, 0.3604705636727156, 0.935
5, 9500, 0.0, 0.3606499684440514, 0.95
5, 10000, 0.0, 0.36069728650464405, 0.95
6, 500, -0.4, 0.36246905012510733, 0.7949999999999999
6, 1000, -0.3, 0.329615541804631, 0.7849999999999999
6, 1500, -0.35, 0.29447916761335347, 0.7749999999999999
6, 2000, -0.35, 0.3280846147382188, 0.77
6, 2500, -0.25, 0.32601922911400416, 0.77
6, 3000, 0.0, 0.35622080560019925, 0.915
6, 3500, -0.05, 0.3564548383149053, 0.8049999999999999
6, 4000, -0.15, 0.3543308906511502, 0.7849999999999999
6, 4500, -0.1, 0.31894493604854557, 0.825
6, 5000, -0.1, 0.35207578642494886, 0.8
6, 5500, 0.0, 0.35315197732712084, 0.8049999999999999
6, 6000, 0.0, 0.3536562238207589, 0.88
6, 6500, 0.0, 0.35598225512793724, 0.85
6, 7000, 0.0, 0.35803355217709676, 0.89
6, 7500, 0.0, 0.35916917584509606, 0.975
6, 8000, 0.0, 0.36072061071843087, 0.96
6, 8500, 0.0, 0.36128681704924404, 0.97
6, 9000, 0.0, 0.3618284580639821, 0.905
