TDNTuple3Agt: USESYM:true; P:4; NORMALIZE:false; sigmoid:tanh; lambda:0.5; horizon:7; AFTERSTATE:false; learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2; epsilon_init->final:0.2->0.2; gamma: 1.0; random 50 6-tuple
run; gameNum; evalQ; evalT; actionNum; trnMoves; elapsedTime; movesSecond;P ; N
0; 78000; 1.0; 1.0; 3831637; 4652312; 1677.751; 2283.7936022687513; 3; 0.0
0; 80000; 0.9; 1.0; 3930239; 4771997; 1720.529; 2284.3201131744945; 3; 0.0
0; 82000; 0.9; 1.0; 4028949; 4891803; 1763.188; 2285.0365360925775; 3; 0.0
0; 84000; 0.95; 0.8500000000000001; 4127584; 5011284; 1807.592; 2283.4710487764937; 3; 0.0
0; 86000; 1.0; 0.8; 4225979; 5130919; 1850.534; 2283.6537993897978; 3; 0.0
0; 88000; 0.9; 0.9; 4324580; 5250713; 1892.807; 2284.7442977546048; 3; 0.0
0; 90000; 1.0; 0.9; 4422959; 5370435; 1935.916; 2284.6853892420954; 3; 0.0
0; 92000; 1.0; 1.0; 4521730; 5490247; 1980.251; 2283.4125572970297; 3; 0.0
0; 94000; 0.8; 0.55; 4620289; 5609835; 2022.878; 2284.01762241717; 3; 0.0
0; 96000; 0.7000000000000001; 0.6000000000000001; 4718965; 5729679; 2065.533; 2284.6233877648046; 3; 0.0
0; 98000; 0.39999999999999997; 0.9; 4817534; 5849419; 2110.125; 2283.056217048753; 3; 0.0
0; 100000; 0.1; 0.0; 4916294; 5969040; 2153.005; 2283.456842877745; 3; 0.0
0; 102000; 0.19999999999999998; 0.5; 5014865; 6088742; 2195.843; 2283.7994337482237; 3; 0.0
0; 104000; -0.3; -0.3; 5113461; 6208551; 2239.625; 2283.1773176313; 3; 0.0
0; 106000; 1.0; 1.0; 5212214; 6328314; 2283.975; 2282.0801453606105; 3; 0.0
0; 108000; 0.6; 0.5; 5311094; 6448136; 2326.639; 2282.7323018310963; 3; 0.0
0; 110000; 0.20000000000000004; 0.6; 5409573; 6567741; 2368.441; 2284.0226967866206; 3; 0.0
0; 112000; 1.0; 1.0; 5508052; 6687500; 2411.482; 2284.0941794299106; 3; 0.0
0; 114000; 1.0; 1.0; 5606611; 6807228; 2454.14; 2284.5522260343746; 3; 0.0
0; 116000; 0.9; 0.9; 5705052; 6926936; 2495.87; 2285.7969365391627; 3; 0.0
0; 118000; 0.35000000000000003; 0.5; 5803667; 7046552; 2538.142; 2286.580892637213; 3; 0.0
0; 120000; 0.9; 0.9; 5902203; 7166140; 2581.987; 2285.9150723841753; 3; 0.0
0; 122000; 0.4; 0.6000000000000001; 6001050; 7285920; 2623.869; 2287.099698956007; 3; 0.0
0; 124000; 0.5; 0.19999999999999996; 6099968; 7405782; 2666.016; 2288.0462832931235; 3; 0.0
0; 126000; 0.8; 0.6; 6198855; 7525644; 2707.808; 2289.2520444581005; 3; 0.0
0; 128000; 1.0; 1.0; 6297466; 7645359; 2751.41; 2288.8140989529006; 3; 0.0
0; 130000; 0.09999999999999998; 0.55; 6396098; 7765172; 2793.88; 2289.3245236015864; 3; 0.0
0; 132000; 0.29999999999999993; 0.09999999999999998; 6494631; 7884952; 2835.658; 2290.3435463656056; 3; 0.0
0; 134000; 1.0; 1.0; 6593462; 8004564; 2878.244; 2290.7932753442724; 3; 0.0
0; 136000; 1.0; 1.0; 6691884; 8123960; 2920.739; 2291.1612437811114; 3; 0.0
0; 138000; 1.0; 1.0; 6790265; 8243508; 2962.262; 2292.2567281354586; 3; 0.0
0; 140000; 0.09999999999999998; 0.45000000000000007; 6888979; 8363229; 3003.785; 2293.4327856354566; 3; 0.0
0; 142000; 1.0; 0.9; 6987466; 8482907; 3047.164; 2293.104670441105; 3; 0.0
