TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, user2
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 0.99, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 0.925, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 0.64, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 0.24, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 200, 1.0E-8, 0, 10.0, 0.07499999999999996, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 0.99, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 0.95, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 0.79, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 0.41500000000000004, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 500, 1.0E-8, 0, 10.0, 0.14500000000000002, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.995, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.95, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.77, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.38, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.16000000000000003, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 0.995, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 0.92, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 0.6799999999999999, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 0.32499999999999996, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 0.18000000000000005, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 0, 1.0E-8, 0, 10.0, 0.050000000000000044, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 0.9, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 0.5, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 0.135, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 100, 1.0E-8, 0, 10.0, 0.06000000000000005, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 0.99, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 0.955, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 0.595, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 0.21499999999999997, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 200, 1.0E-8, 0, 10.0, 0.08999999999999997, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 0.94, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 0.77, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 0.375, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 500, 1.0E-8, 0, 10.0, 0.19999999999999996, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.995, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.97, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.795, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.42000000000000004, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 2, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.18500000000000005, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 0.935, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 0.63, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 0.31000000000000005, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 0.17500000000000004, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 0, 1.0E-8, 0, 10.0, 0.06499999999999995, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 0.945, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 0.5349999999999999, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 0.21999999999999997, 8.0, 0.0
