controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0

run, gameNum, evalQ, evalT, evalM
5, 8500, 33567.18499211837, 0.0, 0.0
5, 9000, 34067.50369984237, 0.0, 0.0
5, 9500, 34683.430073996846, 0.0, 0.0
5, 10000, 36124.308601479934, 0.0, 0.0
6, 500, 12836.32, 0.0, 0.0
6, 1000, 17814.886400000003, 0.0, 0.0
6, 1500, 22721.097728, 0.0, 0.0
6, 2000, 23012.901954560002, 0.0, 0.0
6, 2500, 23032.818039091202, 0.0, 0.0
6, 3000, 23241.136360781828, 0.0, 0.0
6, 3500, 24175.302727215636, 0.0, 0.0
6, 4000, 28261.266054544314, 0.0, 0.0
6, 4500, 27842.585321090886, 0.0, 0.0
6, 5000, 26291.171706421817, 0.0, 0.0
6, 5500, 29778.943434128436, 0.0, 0.0
6, 6000, 32448.93886868257, 0.0, 0.0
6, 6500, 27671.778777373653, 0.0, 0.0
6, 7000, 30347.595575547475, 0.0, 0.0
6, 7500, 30378.47191151095, 0.0, 0.0
6, 8000, 31243.48943823022, 0.0, 0.0
6, 8500, 36610.7897887646, 0.0, 0.0
6, 9000, 37228.45579577529, 0.0, 0.0
6, 9500, 32620.1691159155, 0.0, 0.0
6, 10000, 30261.28338231831, 0.0, 0.0
7, 500, 13973.6, 0.0, 0.0
7, 1000, 17796.672, 0.0, 0.0
7, 1500, 20909.69344, 0.0, 0.0
7, 2000, 24681.1538688, 0.0, 0.0
7, 2500, 22498.743077376, 0.0, 0.0
7, 3000, 23450.294861547518, 0.0, 0.0
7, 3500, 27519.485897230952, 0.0, 0.0
7, 4000, 23294.869717944617, 0.0, 0.0
7, 4500, 28945.97739435889, 0.0, 0.0
7, 5000, 28998.75954788718, 0.0, 0.0
7, 5500, 28463.73519095774, 0.0, 0.0
7, 6000, 31404.794703819156, 0.0, 0.0
7, 6500, 30413.535894076384, 0.0, 0.0
7, 7000, 26431.870717881528, 0.0, 0.0
7, 7500, 29508.63741435763, 0.0, 0.0
7, 8000, 32395.612748287152, 0.0, 0.0
7, 8500, 32694.63225496574, 0.0, 0.0
7, 9000, 34915.172645099316, 0.0, 0.0
7, 9500, 32802.54345290199, 0.0, 0.0
7, 10000, 34648.53086905804, 0.0, 0.0
8, 500, 13732.08, 0.0, 0.0
8, 1000, 17332.001600000003, 0.0, 0.0
8, 1500, 20853.920032, 0.0, 0.0
8, 2000, 22546.11840064, 0.0, 0.0
8, 2500, 25852.042368012797, 0.0, 0.0
8, 3000, 21850.40084736026, 0.0, 0.0
8, 3500, 21086.608016947204, 0.0, 0.0
8, 4000, 28517.812160338945, 0.0, 0.0
8, 4500, 24622.67624320678, 0.0, 0.0
8, 5000, 25123.013524864135, 0.0, 0.0
8, 5500, 30160.700270497284, 0.0, 0.0
8, 6000, 29473.134005409946, 0.0, 0.0
8, 6500, 28082.742680108197, 0.0, 0.0
8, 7000, 28542.774853602165, 0.0, 0.0
8, 7500, 30580.85549707204, 0.0, 0.0
8, 8000, 29534.89710994144, 0.0, 0.0
8, 8500, 33141.73794219883, 0.0, 0.0
8, 9000, 32771.87475884397, 0.0, 0.0
8, 9500, 30989.677495176882, 0.0, 0.0
8, 10000, 30833.953549903537, 0.0, 0.0
9, 500, 15285.52, 0.0, 0.0
9, 1000, 15958.0304, 0.0, 0.0
9, 1500, 20208.520608000003, 0.0, 0.0
9, 2000, 21943.05041216, 0.0, 0.0
9, 2500, 20293.9810082432, 0.0, 0.0
9, 3000, 20193.159620164864, 0.0, 0.0
9, 3500, 23766.6631924033, 0.0, 0.0
9, 4000, 23028.613263848067, 0.0, 0.0
9, 4500, 26312.81226527696, 0.0, 0.0
9, 5000, 23863.53624530554, 0.0, 0.0
9, 5500, 28601.910724906113, 0.0, 0.0
9, 6000, 31835.798214498125, 0.0, 0.0
9, 6500, 28184.15596428996, 0.0, 0.0
9, 7000, 30865.1231192858, 0.0, 0.0
9, 7500, 29980.902462385715, 0.0, 0.0
9, 8000, 30936.178049247712, 0.0, 0.0
9, 8500, 36027.60356098496, 0.0, 0.0
9, 9000, 37769.6720712197, 0.0, 0.0
9, 9500, 30789.633441424394, 0.0, 0.0
9, 10000, 32482.67266882849, 0.0, 0.0
