controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0

run, gameNum, evalQ, evalT, evalM
5, 8500, 26866.135737767894, 0.0, 0.0
5, 9000, 27496.282714755358, 0.0, 0.0
5, 9500, 23687.365654295107, 0.0, 0.0
5, 10000, 24893.9873130859, 0.0, 0.0
6, 500, 10817.6, 0.0, 0.0
6, 1000, 16902.672, 0.0, 0.0
6, 1500, 17767.01344, 0.0, 0.0
6, 2000, 17920.2202688, 0.0, 0.0
6, 2500, 19508.564405375997, 0.0, 0.0
6, 3000, 21034.81128810752, 0.0, 0.0
6, 3500, 20004.37622576215, 0.0, 0.0
6, 4000, 20730.087524515242, 0.0, 0.0
6, 4500, 19425.161750490304, 0.0, 0.0
6, 5000, 18943.303235009807, 0.0, 0.0
6, 5500, 19243.746064700197, 0.0, 0.0
6, 6000, 19859.754921294003, 0.0, 0.0
6, 6500, 21282.15509842588, 0.0, 0.0
6, 7000, 24511.723101968517, 0.0, 0.0
6, 7500, 19952.474462039372, 0.0, 0.0
6, 8000, 19893.769489240785, 0.0, 0.0
6, 8500, 23693.075389784815, 0.0, 0.0
6, 9000, 25638.901507795694, 0.0, 0.0
6, 9500, 20595.578030155913, 0.0, 0.0
6, 10000, 24864.23156060312, 0.0, 0.0
7, 500, 13435.12, 0.0, 0.0
7, 1000, 15746.3024, 0.0, 0.0
7, 1500, 17144.286047999998, 0.0, 0.0
7, 2000, 16934.88572096, 0.0, 0.0
7, 2500, 19311.8177144192, 0.0, 0.0
7, 3000, 19361.676354288385, 0.0, 0.0
7, 3500, 17269.87352708577, 0.0, 0.0
7, 4000, 18803.397470541717, 0.0, 0.0
7, 4500, 19110.627949410835, 0.0, 0.0
7, 5000, 19290.132558988218, 0.0, 0.0
7, 5500, 19326.682651179763, 0.0, 0.0
7, 6000, 21355.813653023597, 0.0, 0.0
7, 6500, 19793.196273060472, 0.0, 0.0
7, 7000, 20624.18392546121, 0.0, 0.0
7, 7500, 21354.563678509225, 0.0, 0.0
7, 8000, 24937.17127357018, 0.0, 0.0
7, 8500, 24591.8634254714, 0.0, 0.0
7, 9000, 22853.997268509425, 0.0, 0.0
7, 9500, 23212.11994537019, 0.0, 0.0
7, 10000, 24268.8823989074, 0.0, 0.0
8, 500, 12234.72, 0.0, 0.0
8, 1000, 18468.6144, 0.0, 0.0
8, 1500, 18462.892288, 0.0, 0.0
8, 2000, 18326.93784576, 0.0, 0.0
8, 2500, 19507.8187569152, 0.0, 0.0
8, 3000, 16591.756375138302, 0.0, 0.0
8, 3500, 20022.715127502765, 0.0, 0.0
8, 4000, 18990.294302550057, 0.0, 0.0
8, 4500, 19495.565886051, 0.0, 0.0
8, 5000, 21749.51131772102, 0.0, 0.0
8, 5500, 19673.15022635442, 0.0, 0.0
8, 6000, 18233.06300452709, 0.0, 0.0
8, 6500, 21855.621260090546, 0.0, 0.0
8, 7000, 17967.19242520181, 0.0, 0.0
8, 7500, 21974.70384850404, 0.0, 0.0
8, 8000, 19209.01407697008, 0.0, 0.0
8, 8500, 20086.0202815394, 0.0, 0.0
8, 9000, 22924.840405630785, 0.0, 0.0
8, 9500, 20930.576808112615, 0.0, 0.0
8, 10000, 23109.091536162254, 0.0, 0.0
9, 500, 4969.52, 0.0, 0.0
9, 1000, 6605.0704000000005, 0.0, 0.0
9, 1500, 7762.821408, 0.0, 0.0
9, 2000, 7062.69642816, 0.0, 0.0
9, 2500, 9899.0939285632, 0.0, 0.0
9, 3000, 7763.6618785712635, 0.0, 0.0
9, 3500, 9434.473237571425, 0.0, 0.0
9, 4000, 10410.049464751428, 0.0, 0.0
9, 4500, 12884.12098929503, 0.0, 0.0
9, 5000, 10848.002419785898, 0.0, 0.0
9, 5500, 11433.200048395716, 0.0, 0.0
9, 6000, 11206.664000967914, 0.0, 0.0
9, 6500, 10377.413280019358, 0.0, 0.0
9, 7000, 12537.228265600386, 0.0, 0.0
9, 7500, 12953.144565312008, 0.0, 0.0
9, 8000, 14886.26289130624, 0.0, 0.0
9, 8500, 12743.325257826125, 0.0, 0.0
9, 9000, 14543.586505156523, 0.0, 0.0
9, 9500, 13001.35173010313, 0.0, 0.0
9, 10000, 14320.987034602063, 0.0, 0.0
