P0: controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
P0: controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=2
Start state = 0001000000000100
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 148, 0, 1, +1604.00, 4, 950, 128
1, 149, 0, 0, +1752.00, 6, 956, 128
1, 150, 0, 3, +2016.00, 7, 963, 256
1, 151, 0, 1, +2016.00, 6, 969, 256
1, 152, 0, 3, +2016.00, 5, 974, 256
1, 153, 0, 0, +2020.00, 5, 979, 256
1, 154, 0, 1, +2020.00, 4, 983, 256
1, 155, 0, 0, +2032.00, 5, 988, 256
1, 156, 0, 0, +2040.00, 5, 993, 256
1, 157, 0, 1, +2044.00, 5, 998, 256
1, 158, 0, 0, +2064.00, 6, 1004, 256
1, 159, 0, 3, +2096.00, 6, 1010, 256
1, 160, 0, 0, +2168.00, 7, 1017, 256
1, 161, 0, 1, +2184.00, 7, 1024, 256
1, 162, 0, 3, +2188.00, 7, 1031, 256
1, 163, 0, 3, +2196.00, 7, 1038, 256
1, 164, 0, 1, +2200.00, 7, 1045, 256
1, 165, 0, 1, +2200.00, 6, 1051, 256
1, 166, 0, 1, +2204.00, 6, 1057, 256
1, 167, 0, 0, +2212.00, 6, 1063, 256
1, 168, 0, 0, +2228.00, 6, 1069, 256
1, 169, 0, 0, +2228.00, 5, 1074, 256
1, 170, 0, 0, +2232.00, 5, 1079, 256
1, 171, 0, 3, +2272.00, 6, 1085, 256
1, 172, 0, 0, +2276.00, 6, 1091, 256
1, 173, 0, 3, +2288.00, 7, 1098, 256
1, 174, 0, 0, +2308.00, 8, 1106, 256
1, 175, 0, 3, +2308.00, 7, 1113, 256
1, 176, 0, 3, +2308.00, 6, 1119, 256
1, 177, 0, 0, +2308.00, 5, 1124, 256
1, 178, 0, 1, +2316.00, 6, 1130, 256
1, 179, 0, 1, +2316.00, 5, 1135, 256
1, 180, 0, 0, +2332.00, 6, 1141, 256
1, 181, 0, 1, +2336.00, 6, 1147, 256
1, 182, 0, 0, +2352.00, 6, 1153, 256
1, 183, 0, 1, +2356.00, 6, 1159, 256
1, 184, 0, 0, +2364.00, 6, 1165, 256
1, 185, 0, 1, +2368.00, 6, 1171, 256
1, 186, 0, 0, +2368.00, 5, 1176, 256
1, 187, 0, 1, +2372.00, 5, 1181, 256
1, 188, 0, 0, +2376.00, 5, 1186, 256
1, 189, 0, 1, +2384.00, 5, 1191, 256
1, 190, 0, 0, +2400.00, 5, 1196, 256
1, 191, 0, 1, +2408.00, 5, 1201, 256
1, 192, 0, 0, +2444.00, 6, 1207, 256
1, 193, 0, 3, +2444.00, 5, 1212, 256
1, 194, 0, 3, +2448.00, 5, 1217, 256
1, 195, 0, 0, +2456.00, 5, 1222, 256
1, 196, 0, 3, +2460.00, 5, 1227, 256
1, 197, 0, 3, +2468.00, 5, 1232, 256
1, 198, 0, 3, +2472.00, 5, 1237, 256
1, 199, 0, 3, +2472.00, 4, 1241, 256
1, 200, 0, 0, +2488.00, 4, 1245, 256
1, 201, 0, 1, +2524.00, 5, 1250, 256
1, 202, 0, 1, +2596.00, 6, 1256, 256
1, 203, 0, 0, +2740.00, 7, 1263, 256
1, 204, 0, 1, +2744.00, 7, 1270, 256
1, 205, 0, 1, +2748.00, 7, 1277, 256
1, 206, 0, 3, +2748.00, 6, 1283, 256
1, 207, 0, 0, +2760.00, 7, 1290, 256
1, 208, 0, 3, +2764.00, 7, 1297, 256
1, 209, 0, 3, +2764.00, 6, 1303, 256
1, 210, 0, 0, +2772.00, 6, 1309, 256
1, 211, 0, 3, +2792.00, 7, 1316, 256
1, 212, 0, 3, +2824.00, 7, 1323, 256
1, 213, 0, 3, +2824.00, 6, 1329, 256
1, 214, 0, 0, +2892.00, 7, 1336, 256
1, 215, 0, 1, +2900.00, 7, 1343, 256
1, 216, 0, 1, +2904.00, 7, 1350, 256
1, 217, 0, 0, +2908.00, 7, 1357, 256
1, 218, 0, 0, +2916.00, 7, 1364, 256
1, 219, 0, 1, +2936.00, 8, 1372, 256
1, 220, 0, 0, +2940.00, 8, 1380, 256
1, 221, 0, 3, +2940.00, 7, 1387, 256
1, 222, 0, 0, +2948.00, 7, 1394, 256
1, 223, 0, 0, +2948.00, 6, 1400, 256
1, 224, 0, 3, +2956.00, 7, 1407, 256
1, 225, 0, 0, +2956.00, 6, 1413, 256
1, 226, 0, 0, +2960.00, 6, 1419, 256
1, 227, 0, 3, +2968.00, 6, 1425, 256
1, 228, 0, 3, +2972.00, 6, 1431, 256
1, 229, 0, 3, +2980.00, 6, 1437, 256
1, 230, 0, 0, +2996.00, 6, 1443, 256
1, 231, 0, 1, +3028.00, 6, 1449, 256
1, 232, 0, 0, +3032.00, 6, 1455, 256
1, 233, 0, 0, +3032.00, 5, 1460, 256
1, 234, 0, 1, +3036.00, 5, 1465, 256
1, 235, 0, 1, +3040.00, 5, 1470, 256
1, 236, 0, 3, +3040.00, 4, 1474, 256
1, 237, 0, 0, +3044.00, 4, 1478, 256
1, 238, 0, 0, +3052.00, 4, 1482, 256
1, 239, 0, 1, +3056.00, 4, 1486, 256
1, 240, 0, 0, +3064.00, 4, 1490, 256
1, 241, 0, 3, +3080.00, 4, 1494, 256
1, 242, 0, 0, +3092.00, 5, 1499, 256
1, 243, 0, 0, +3108.00, 5, 1504, 256
1, 244, 0, 3, +3116.00, 5, 1509, 256
