controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
7, 5000, 0.3333333333333333, 0.16666666666666666, 0.0, 139634, 64817
7, 10000, 0.0, 0.16666666666666666, 0.0, 279668, 129834
7, 15000, 0.3333333333333333, 0.41666666666666663, 0.0, 419322, 194661
7, 20000, 0.3333333333333333, 0.41666666666666663, 0.0, 559324, 259662
7, 25000, 0.0, 0.16666666666666666, 0.0, 699120, 324560
7, 30000, 1.0, 0.5833333333333333, 0.0, 835648, 387824
7, 35000, 0.0, 0.25, 0.0, 968714, 449357
7, 40000, 0.6666666666666666, 0.3333333333333333, 0.0, 1098696, 509348
7, 45000, 0.3333333333333333, 0.0, 0.0, 1224806, 567403
7, 50000, 0.0, 0.5, 0.0, 1347608, 623804
7, 55000, 0.6666666666666666, 0.41666666666666663, 0.0, 1468230, 679115
7, 60000, 0.6666666666666666, 0.25, 0.0, 1586570, 733285
7, 65000, 0.3333333333333333, 0.25, 0.0, 1702136, 786068
7, 70000, 0.3333333333333333, 0.5, 0.0, 1814554, 837277
7, 75000, 1.0, 0.6666666666666666, 0.0, 1923750, 886875
7, 80000, 0.6666666666666666, 0.75, 0.0, 2030616, 935308
7, 85000, 1.0, 0.6666666666666666, 0.0, 2134916, 982458
7, 90000, 1.0, 1.0, 0.0, 2236978, 1028489
7, 95000, 0.6666666666666666, 0.8333333333333334, 0.0, 2335866, 1072933
7, 100000, 1.0, 0.9166666666666666, 0.0, 2434436, 1117218
8, 5000, 0.6666666666666666, 0.25, 0.0, 139680, 64840
8, 10000, 1.0, 0.3333333333333333, 0.0, 279526, 129763
8, 15000, 0.6666666666666666, 0.25, 0.0, 419658, 194829
8, 20000, 0.0, 0.16666666666666666, 0.0, 558934, 259467
8, 25000, 0.6666666666666666, 0.08333333333333333, 0.0, 698504, 324252
8, 30000, 0.6666666666666666, 0.16666666666666666, 0.0, 834600, 387300
8, 35000, 0.6666666666666666, 0.0, 0.0, 967040, 448520
8, 40000, 0.6666666666666666, 0.08333333333333333, 0.0, 1096976, 508488
8, 45000, 0.3333333333333333, 0.25, 0.0, 1222536, 566268
8, 50000, 0.3333333333333333, 0.08333333333333333, 0.0, 1345946, 622973
8, 55000, 0.3333333333333333, 0.3333333333333333, 0.0, 1466254, 678127
8, 60000, 0.3333333333333333, 0.3333333333333333, 0.0, 1585082, 732541
8, 65000, 0.3333333333333333, 0.3333333333333333, 0.0, 1701726, 785863
8, 70000, 0.6666666666666666, 0.9166666666666666, 0.0, 1814302, 837151
8, 75000, 1.0, 0.8333333333333333, 0.0, 1925752, 887876
8, 80000, 1.0, 0.7499999999999999, 0.0, 2035698, 937849
8, 85000, 0.6666666666666666, 0.6666666666666667, 0.0, 2145830, 987915
