controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
5, 90000, 1.0, 1.0, 0.0, 1111859, 1021859
5, 95000, 1.0, 1.0, 0.0, 1158328, 1063328
5, 100000, 1.0, 1.0, 0.0, 1201949, 1101949
6, 5000, 0.3333333333333333, 0.41666666666666663, 0.0, 69630, 64630
6, 10000, 0.6666666666666666, 0.3333333333333333, 0.0, 139496, 129496
6, 15000, 0.6666666666666666, 0.3333333333333333, 0.0, 209261, 194261
6, 20000, 0.3333333333333333, 0.5833333333333333, 0.0, 278851, 258851
6, 25000, 0.3333333333333333, 0.16666666666666666, 0.0, 348570, 323570
6, 30000, 0.6666666666666666, 0.3333333333333333, 0.0, 416643, 386643
6, 35000, 1.0, 0.5833333333333333, 0.0, 483172, 448172
6, 40000, 0.6666666666666666, 0.5833333333333333, 0.0, 547636, 507636
6, 45000, 0.3333333333333333, 0.5833333333333333, 0.0, 610378, 565378
6, 50000, 0.6666666666666666, 0.5833333333333333, 0.0, 671671, 621671
6, 55000, 0.6666666666666666, 0.5, 0.0, 731598, 676598
6, 60000, 0.6666666666666666, 0.5, 0.0, 789540, 729540
6, 65000, 0.0, 0.75, 0.0, 846539, 781539
6, 70000, 0.6666666666666666, 1.0, 0.0, 902187, 832187
6, 75000, 1.0, 0.9166666666666666, 0.0, 956166, 881166
6, 80000, 1.0, 1.0, 0.0, 1008348, 928348
6, 85000, 0.6666666666666666, 0.9166666666666666, 0.0, 1059322, 974322
6, 90000, 1.0, 1.0, 0.0, 1110490, 1020490
6, 95000, 0.6666666666666666, 0.9166666666666666, 0.0, 1160565, 1065565
6, 100000, 0.6666666666666666, 0.8333333333333333, 0.0, 1206274, 1106274
7, 5000, 0.6666666666666666, 0.41666666666666663, 0.0, 69918, 64918
7, 10000, 0.3333333333333333, 0.0, 0.0, 139548, 129548
7, 15000, 0.0, 0.08333333333333333, 0.0, 209586, 194586
7, 20000, 0.0, 0.25, 0.0, 279656, 259656
7, 25000, 1.0, 0.3333333333333333, 0.0, 349114, 324114
7, 30000, 0.6666666666666666, 0.41666666666666663, 0.0, 417287, 387287
7, 35000, 0.0, 0.0, 0.0, 483569, 448569
7, 40000, 0.6666666666666666, 0.5833333333333333, 0.0, 547719, 507719
7, 45000, 0.6666666666666666, 0.25, 0.0, 610595, 565595
7, 50000, 0.6666666666666666, 0.5833333333333334, 0.0, 672001, 622001
7, 55000, 0.0, 0.5, 0.0, 732053, 677053
7, 60000, 0.3333333333333333, 0.5833333333333333, 0.0, 791356, 731356
7, 65000, 0.6666666666666666, 0.9166666666666666, 0.0, 849260, 784260
7, 70000, 0.6666666666666666, 0.9166666666666666, 0.0, 905292, 835292
7, 75000, 0.6666666666666666, 0.8333333333333334, 0.0, 960466, 885466
7, 80000, 1.0, 1.0, 0.0, 1014631, 934631
7, 85000, 1.0, 0.9166666666666666, 0.0, 1067255, 982255
7, 90000, 1.0, 1.0, 0.0, 1120249, 1030249
7, 95000, 1.0, 1.0, 0.0, 1170425, 1075425
7, 100000, 1.0, 1.0, 0.0, 1219798, 1119798
8, 5000, 0.6666666666666666, 0.16666666666666666, 0.0, 70008, 65008
8, 10000, 0.3333333333333333, 0.25, 0.0, 139743, 129743
8, 15000, 1.0, 0.5, 0.0, 209521, 194521
8, 20000, 0.3333333333333333, 0.41666666666666663, 0.0, 279200, 259200
8, 25000, 0.6666666666666666, 0.41666666666666663, 0.0, 348814, 323814
8, 30000, 0.0, 0.5833333333333333, 0.0, 416855, 386855
8, 35000, 0.3333333333333333, 0.16666666666666666, 0.0, 483274, 448274
8, 40000, 1.0, 0.49999999999999994, 0.0, 548045, 508045
8, 45000, 0.6666666666666666, 0.5, 0.0, 611247, 566247
8, 50000, 1.0, 0.41666666666666663, 0.0, 673053, 623053
8, 55000, 1.0, 0.5, 0.0, 733360, 678360
8, 60000, 1.0, 0.6666666666666666, 0.0, 792608, 732608
8, 65000, 0.6666666666666666, 0.9166666666666666, 0.0, 850492, 785492
8, 70000, 1.0, 0.6666666666666666, 0.0, 907333, 837333
8, 75000, 1.0, 0.8333333333333333, 0.0, 963720, 888720
8, 80000, 1.0, 0.9166666666666666, 0.0, 1018663, 938663
8, 85000, 1.0, 1.0, 0.0, 1070923, 985923
8, 90000, 1.0, 1.0, 0.0, 1121867, 1031867
8, 95000, 1.0, 1.0, 0.0, 1169270, 1074270
8, 100000, 1.0, 1.0, 0.0, 1217106, 1117106
9, 5000, 0.6666666666666666, 0.25, 0.0, 70088, 65088
9, 10000, 0.3333333333333333, 0.3333333333333333, 0.0, 140127, 130127
9, 15000, 0.3333333333333333, 0.16666666666666666, 0.0, 210080, 195080
9, 20000, 0.3333333333333333, 0.3333333333333333, 0.0, 279931, 259931
9, 25000, 0.0, 0.41666666666666663, 0.0, 349819, 324819
9, 30000, 1.0, 0.5, 0.0, 417739, 387739
9, 35000, 0.0, 0.49999999999999994, 0.0, 484088, 449088
9, 40000, 0.6666666666666666, 0.5833333333333333, 0.0, 548784, 508784
9, 45000, 0.6666666666666666, 0.25, 0.0, 612085, 567085
9, 50000, 0.3333333333333333, 0.5, 0.0, 673615, 623615
9, 55000, 0.3333333333333333, 0.8333333333333333, 0.0, 734096, 679096
9, 60000, 0.3333333333333333, 0.3333333333333333, 0.0, 792905, 732905
9, 65000, 1.0, 1.0, 0.0, 851411, 786411
9, 70000, 0.6666666666666666, 0.9166666666666666, 0.0, 907253, 837253
9, 75000, 1.0, 0.6666666666666666, 0.0, 962197, 887197
