controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=4, evalT=3
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
1, 345000, 0.525, 0.8250000000000001, 8671763, 9634480;;;;;;;;;;;
1, 350000, 0.45, 0.875, 8803438, 9781027;;;;;;;;;;;
1, 355000, 0.525, 0.825, 8931446, 9923238;;;;;;;;;;;
1, 360000, 0.9, 0.875, 9059718, 10065689;;;;;;;;;;;
1, 365000, 0.9, 1.0, 9188045, 10208263;;;;;;;;;;;
1, 370000, 0.8, 0.75, 9316345, 10350750;;;;;;;;;;;
1, 375000, 0.85, 0.9249999999999999, 9448227, 10497103;;;;;;;;;;;
1, 380000, 0.775, 0.625, 9581013, 10644660;;;;;;;;;;;
1, 385000, 1.0, 0.8999999999999999, 9712182, 10790543;;;;;;;;;;;
1, 390000, 0.775, 0.725, 9843383, 10936237;;;;;;;;;;;
1, 395000, 0.9, 0.35000000000000003, 9977251, 11085027;;;;;;;;;;;
1, 400000, 0.8, 0.525, 10109592, 11231904;;;;;;;;;;;
1, 405000, 0.475, 0.675, 10243655, 11380688;;;;;;;;;;;
1, 410000, 0.8, 1.0, 10377400, 11529305;;;;;;;;;;;
1, 415000, 0.825, 1.0, 10504292, 11670202;;;;;;;;;;;
1, 420000, 0.7, 0.325, 10633687, 11813908;;;;;;;;;;;
1, 425000, 0.875, 0.85, 10763001, 11957588;;;;;;;;;;;
1, 430000, 0.95, 0.95, 10892682, 12101624;;;;;;;;;;;
1, 435000, 0.725, 1.0, 11017858, 12240570;;;;;;;;;;;
1, 440000, 0.975, 1.0, 11142267, 12378937;;;;;;;;;;;
1, 445000, 0.925, 0.95, 11263939, 12514196;;;;;;;;;;;
1, 450000, 0.975, 1.0, 11391400, 12655890;;;;;;;;;;;
1, 455000, 0.975, 0.9249999999999999, 11519747, 12798334;;;;;;;;;;;
1, 460000, 0.9, 0.8999999999999999, 11647631, 12940507;;;;;;;;;;;
1, 465000, 0.875, 0.95, 11773719, 13080662;;;;;;;;;;;
1, 470000, 0.45, 0.95, 11899508, 13220420;;;;;;;;;;;
1, 475000, 0.825, 0.875, 12028077, 13363224;;;;;;;;;;;
1, 480000, 0.875, 1.0, 12157866, 13507368;;;;;;;;;;;
1, 485000, 0.825, 1.0, 12287280, 13650972;;;;;;;;;;;
1, 490000, 0.8, 0.975, 12414704, 13792422;;;;;;;;;;;
1, 495000, 0.8, 0.8999999999999999, 12540334, 13931935;;;;;;;;;;;
1, 500000, 0.8, 0.85, 12667723, 14073295;;;;;;;;;;;
2, 5000, 0.225, -0.65, 87931, 97661;;;;;;;;;;;
2, 10000, 0.35, 0.4, 191433, 212642;;;;;;;;;;;
2, 15000, 0.15, -0.04999999999999999, 297094, 329980;;;;;;;;;;;
2, 20000, 0.1, -0.24999999999999994, 405640, 450826;;;;;;;;;;;
2, 25000, 0.1, -0.975, 518959, 576686;;;;;;;;;;;
2, 30000, 0.25, -0.825, 630572, 700633;;;;;;;;;;;
2, 35000, 0.15, -0.925, 748865, 832091;;;;;;;;;;;
2, 40000, 0.4, -0.975, 863488, 959538;;;;;;;;;;;
2, 45000, 0.375, -0.9, 980302, 1089534;;;;;;;;;;;
2, 50000, 0.275, -0.975, 1100133, 1222520;;;;;;;;;;;
2, 55000, 0.0, -1.0, 1225620, 1362032;;;;;;;;;;;
2, 60000, 0.3, -0.925, 1353864, 1504406;;;;;;;;;;;
2, 65000, 0.375, -1.0, 1481213, 1645913;;;;;;;;;;;
2, 70000, 0.425, -0.825, 1605510, 1784030;;;;;;;;;;;
2, 75000, 0.425, -0.875, 1727909, 1920134;;;;;;;;;;;
2, 80000, 0.45, -0.17499999999999993, 1847077, 2052490;;;;;;;;;;;
2, 85000, 0.6, 0.175, 1966240, 2184959;;;;;;;;;;;
2, 90000, 0.625, 0.025000000000000022, 2084105, 2315991;;;;;;;;;;;
2, 95000, 0.55, 0.35000000000000003, 2205375, 2450959;;;;;;;;;;;
2, 100000, 0.6, 0.35000000000000003, 2331998, 2591736;;;;;;;;;;;
2, 105000, 0.775, 0.6000000000000001, 2463785, 2738309;;;;;;;;;;;
2, 110000, 0.35, -0.625, 2594098, 2882823;;;;;;;;;;;
2, 115000, 0.35, -0.8, 2717018, 3019293;;;;;;;;;;;
2, 120000, 0.65, -0.125, 2847869, 3164602;;;;;;;;;;;
2, 125000, 0.7, -1.0, 2974091, 3304949;;;;;;;;;;;
2, 130000, 0.775, 0.175, 3106669, 3452230;;;;;;;;;;;
2, 135000, 0.85, 0.050000000000000044, 3235922, 3596042;;;;;;;;;;;
2, 140000, 0.675, -0.925, 3361527, 3735708;;;;;;;;;;;
2, 145000, 0.875, 0.4, 3486591, 3874674;;;;;;;;;;;
2, 150000, 0.825, -0.125, 3615996, 4018540;;;;;;;;;;;
2, 155000, 0.825, 0.44999999999999996, 3746141, 4163227;;;;;;;;;;;
2, 160000, 0.475, -0.925, 3880205, 4312273;;;;;;;;;;;
2, 165000, 0.825, 0.6499999999999999, 4015603, 4462578;;;;;;;;;;;
2, 170000, 0.575, -0.42500000000000004, 4142261, 4603356;;;;;;;;;;;
2, 175000, 0.825, 0.75, 4271200, 4746654;;;;;;;;;;;
2, 180000, 0.85, 0.6000000000000001, 4394477, 4883671;;;;;;;;;;;
2, 185000, 0.95, 0.8250000000000001, 4517589, 5020451;;;;;;;;;;;
2, 190000, 0.875, 0.725, 4645873, 5163112;;;;;;;;;;;
2, 195000, 0.925, 0.575, 4768987, 5300042;;;;;;;;;;;
2, 200000, 0.875, 0.55, 4895743, 5440737;;;;;;;;;;;
2, 205000, 0.4, 0.75, 5022842, 5582088;;;;;;;;;;;
2, 210000, 0.45, 0.325, 5153498, 5727242;;;;;;;;;;;
2, 215000, 0.275, 0.35000000000000003, 5287962, 5876738;;;;;;;;;;;
2, 220000, 0.8, 0.42500000000000004, 5421111, 6024737;;;;;;;;;;;
2, 225000, 0.75, 0.85, 5552379, 6170738;;;;;;;;;;;
2, 230000, 0.75, 0.725, 5681194, 6313967;;;;;;;;;;;
2, 235000, 0.875, 0.8999999999999999, 5808207, 6455114;;;;;;;;;;;
2, 240000, 0.725, 0.8999999999999999, 5934046, 6594875;;;;;;;;;;;
2, 245000, 0.8, 0.875, 6062740, 6737844;;;;;;;;;;;
2, 250000, 0.8, 0.95, 6192168, 6881485;;;;;;;;;;;
2, 255000, 0.7, 0.8999999999999999, 6316868, 7020183;;;;;;;;;;;
2, 260000, 0.825, 0.8500000000000001, 6445420, 7163144;;;;;;;;;;;
2, 265000, 0.85, 0.8, 6577473, 7309699;;;;;;;;;;;
2, 270000, 0.95, 0.8999999999999999, 6705284, 7451784;;;;;;;;;;;
2, 275000, 0.675, 0.95, 6831125, 7591745;;;;;;;;;;;
2, 280000, 0.85, 0.8999999999999999, 6959077, 7733999;;;;;;;;;;;
2, 285000, 0.925, 0.95, 7083721, 7872662;;;;;;;;;;;
2, 290000, 0.875, 1.0, 7210186, 8013243;;;;;;;;;;;
2, 295000, 0.7, 0.8999999999999999, 7340338, 8157811;;;;;;;;;;;
2, 300000, 0.825, 0.19999999999999996, 7466494, 8297989;;;;;;;;;;;
2, 305000, 0.825, 0.775, 7589708, 8434956;;;;;;;;;;;
2, 310000, 0.825, 0.975, 7718764, 8578383;;;;;;;;;;;
2, 315000, 0.9, 1.0, 7846520, 8720385;;;;;;;;;;;
2, 320000, 0.875, 0.95, 7974388, 8862594;;;;;;;;;;;
2, 325000, 0.875, 0.95, 8103385, 9005927;;;;;;;;;;;
2, 330000, 0.825, 0.875, 8233152, 9150264;;;;;;;;;;;
2, 335000, 0.925, 1.0, 8362707, 9294264;;;;;;;;;;;
2, 340000, 0.725, 0.6749999999999999, 8488214, 9433751;;;;;;;;;;;
2, 345000, 0.775, 0.95, 8618643, 9578648;;;;;;;;;;;
2, 350000, 0.45, 1.0, 8749446, 9723943;;;;;;;;;;;
2, 355000, 0.6, 0.9249999999999999, 8874117, 9862629;;;;;;;;;;;
2, 360000, 0.575, 1.0, 8999349, 10001677;;;;;;;;;;;
2, 365000, 0.6, 1.0, 9126100, 10142461;;;;;;;;;;;
2, 370000, 0.6, 0.95, 9252778, 10283243;;;;;;;;;;;
2, 375000, 0.95, 1.0, 9377951, 10422524;;;;;;;;;;;
2, 380000, 0.85, 0.95, 9503801, 10562517;;;;;;;;;;;
2, 385000, 0.775, 0.5249999999999999, 9632081, 10705183;;;;;;;;;;;
2, 390000, 0.925, 0.8250000000000001, 9758737, 10845809;;;;;;;;;;;
2, 395000, 0.9, 1.0, 9886048, 10987145;;;;;;;;;;;
2, 400000, 0.75, 1.0, 10016441, 11132226;;;;;;;;;;;
2, 405000, 0.775, 0.275, 10146829, 11276952;;;;;;;;;;;
2, 410000, 0.85, 0.875, 10274805, 11418934;;;;;;;;;;;
2, 415000, 0.725, 1.0, 10403978, 11562286;;;;;;;;;;;
2, 420000, 0.825, 1.0, 10532943, 11705313;;;;;;;;;;;
2, 425000, 0.85, 1.0, 10658955, 11845542;;;;;;;;;;;
2, 430000, 0.7, 0.8999999999999999, 10787467, 11988229;;;;;;;;;;;
2, 435000, 0.925, 0.95, 10920660, 12136274;;;;;;;;;;;
2, 440000, 0.925, 0.95, 11054215, 12284740;;;;;;;;;;;
2, 445000, 0.575, 1.0, 11189769, 12435417;;;;;;;;;;;
2, 450000, 0.9, 0.8999999999999999, 11321637, 12582058;;;;;;;;;;;
2, 455000, 0.7, 0.975, 11455005, 12730443;;;;;;;;;;;
2, 460000, 0.425, 1.0, 11588103, 12878290;;;;;;;;;;;
2, 465000, 0.875, 0.95, 11724682, 13029946;;;;;;;;;;;
2, 470000, 0.675, 1.0, 11857101, 13177240;;;;;;;;;;;
2, 475000, 0.675, 0.8, 11983793, 13317886;;;;;;;;;;;
2, 480000, 0.85, 0.95, 12113362, 13461639;;;;;;;;;;;
2, 485000, 0.925, 1.0, 12241649, 13604219;;;;;;;;;;;
2, 490000, 0.65, 0.95, 12368460, 13744980;;;;;;;;;;;
2, 495000, 0.8, 0.95, 12494600, 13885041;;;;;;;;;;;
2, 500000, 0.825, 1.0, 12622002, 14026570;;;;;;;;;;;
