controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.36, horizon:5, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
1, 330000, 0.40625, -0.95, 8686884, 8686884
1, 335000, 0.4375, 0.5499999999999999, 8842421, 8842421
1, 340000, 0.1875, 0.975, 8995578, 8995578
1, 345000, 0.4375, -0.125, 9147168, 9147168
1, 350000, 0.125, -0.85, 9306884, 9306884
1, 355000, 0.40625, -0.85, 9457193, 9457193
1, 360000, 0.15625, -0.9, 9611656, 9611656
1, 365000, 0.34375, 0.15000000000000002, 9766490, 9766490
1, 370000, 0.0625, -0.55, 9919174, 9919174
1, 375000, 0.375, 0.75, 10082185, 10082185
1, 380000, -0.1875, -0.8, 10230415, 10230415
1, 385000, 0.375, -0.95, 10386193, 10386193
1, 390000, -0.03125, 0.8, 10534882, 10534882
1, 395000, 0.6875, 0.8500000000000001, 10674153, 10674153
1, 400000, 0.875, 0.10000000000000003, 10830588, 10830588
1, 405000, 0.3125, 0.35000000000000003, 10993425, 10993425
1, 410000, 0.125, 0.8500000000000001, 11149583, 11149583
1, 415000, 0.5, -0.025000000000000022, 11305073, 11305073
1, 420000, 0.21875, 1.0, 11471034, 11471034
1, 425000, 0.3125, 0.22499999999999998, 11641193, 11641193
1, 430000, 0.1875, -0.22499999999999998, 11809488, 11809488
1, 435000, 0.125, -0.14999999999999997, 11999293, 11999293
1, 440000, 0.875, 0.75, 12170950, 12170950
1, 445000, 0.46875, 0.22499999999999998, 12340642, 12340642
1, 450000, 0.0625, -0.575, 12508983, 12508983
1, 455000, 0.71875, -0.15000000000000002, 12681702, 12681702
1, 460000, 0.4375, 0.09999999999999998, 12846215, 12846215
1, 465000, 0.40625, -0.07500000000000001, 12988021, 12988021
1, 470000, 0.1875, -0.775, 13158725, 13158725
1, 475000, -0.25, 0.37500000000000006, 13317244, 13317244
1, 480000, 0.4375, 0.39999999999999997, 13485576, 13485576
1, 485000, 0.53125, 1.0, 13642684, 13642684
1, 490000, 0.875, 0.8999999999999999, 13799797, 13799797
1, 495000, 0.71875, 0.875, 13948755, 13948755
1, 500000, 0.59375, 0.8999999999999999, 14104597, 14104597
2, 5000, -1.0, -0.8999999999999999, 71575, 71575
2, 10000, -0.875, -0.975, 159478, 159478
2, 15000, -0.6875, -1.0, 253168, 253168
2, 20000, -0.59375, -0.85, 355288, 355288
2, 25000, -0.78125, -0.875, 459404, 459404
2, 30000, -0.875, -0.75, 565071, 565071
2, 35000, -0.6875, -0.95, 678195, 678195
2, 40000, -0.75, -1.0, 792780, 792780
2, 45000, -0.5, -0.875, 909088, 909088
2, 50000, -0.84375, -0.95, 1025576, 1025576
2, 55000, -0.65625, -0.925, 1146506, 1146506
2, 60000, -1.0, -1.0, 1265436, 1265436
2, 65000, -0.1875, -0.875, 1388606, 1388606
2, 70000, -0.4375, -0.925, 1508792, 1508792
2, 75000, -0.75, -0.9, 1630252, 1630252
2, 80000, -0.6875, -0.95, 1756321, 1756321
2, 85000, -0.34375, -0.95, 1880798, 1880798
2, 90000, -0.625, -0.875, 2008860, 2008860
2, 95000, -0.1875, -0.775, 2133600, 2133600
2, 100000, 0.0, -0.85, 2261933, 2261933
2, 105000, 0.03125, -0.875, 2387435, 2387435
2, 110000, -0.5, -0.95, 2513186, 2513186
2, 115000, -0.625, -0.925, 2641421, 2641421
2, 120000, -0.125, -0.875, 2769576, 2769576
2, 125000, -0.875, -0.95, 2896461, 2896461
2, 130000, -0.125, -0.925, 3030282, 3030282
2, 135000, 0.0, -0.925, 3163388, 3163388
2, 140000, -0.28125, -0.95, 3296751, 3296751
2, 145000, 0.15625, -0.525, 3426313, 3426313
2, 150000, -0.15625, -0.9, 3564412, 3564412
2, 155000, -0.09375, -0.875, 3697015, 3697015
2, 160000, -0.6875, -0.85, 3831896, 3831896
2, 165000, 0.1875, -0.95, 3969042, 3969042
2, 170000, 0.0625, -0.95, 4108005, 4108005
2, 175000, 0.03125, -0.85, 4245217, 4245217
2, 180000, 0.28125, 0.14999999999999997, 4383902, 4383902
2, 185000, -0.125, -0.625, 4522340, 4522340
2, 190000, 0.0625, 0.15000000000000002, 4660578, 4660578
2, 195000, -0.375, 0.35, 4800564, 4800564
2, 200000, 0.25, 0.14999999999999997, 4939572, 4939572
2, 205000, 0.0625, 0.25, 5080467, 5080467
2, 210000, 0.71875, -0.4, 5220915, 5220915
2, 215000, 0.4375, 0.275, 5363488, 5363488
2, 220000, -0.0625, -0.85, 5503180, 5503180
2, 225000, -0.78125, -0.925, 5644698, 5644698
2, 230000, 0.34375, -0.95, 5786681, 5786681
2, 235000, -0.09375, -0.8, 5928795, 5928795
2, 240000, 0.3125, 0.45, 6069344, 6069344
2, 245000, -0.25, -0.8, 6211546, 6211546
2, 250000, 0.21875, -0.975, 6356489, 6356489
2, 255000, 0.0, -0.75, 6501724, 6501724
2, 260000, -0.125, -0.85, 6642490, 6642490
2, 265000, 0.09375, -0.525, 6790711, 6790711
2, 270000, -0.25, -0.9, 6938769, 6938769
2, 275000, -0.5, -0.975, 7085809, 7085809
2, 280000, 0.0625, -0.825, 7237855, 7237855
2, 285000, 0.1875, 0.75, 7387666, 7387666
2, 290000, -0.25, -0.625, 7539435, 7539435
