controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
1, 475000, 0.775, 0.95, 13957785, 13957785
1, 480000, 0.75, 0.975, 14118060, 14118060
1, 485000, 0.825, 0.975, 14270438, 14270438
1, 490000, 0.925, 1.0, 14428205, 14428205
1, 495000, 0.65, -0.19999999999999996, 14588180, 14588180
1, 500000, 0.85, 0.20000000000000007, 14755003, 14755003
2, 5000, 0.0, -0.95, 70775, 70775
2, 10000, 0.35, -1.0, 161947, 161947
2, 15000, 0.075, -0.975, 261395, 261395
2, 20000, 0.0, -0.85, 372219, 372219
2, 25000, 0.25, -0.925, 487175, 487175
2, 30000, 0.225, -0.925, 602270, 602270
2, 35000, 0.0, -0.875, 721696, 721696
2, 40000, 0.0, -0.875, 840329, 840329
2, 45000, 0.625, -0.975, 968600, 968600
2, 50000, 0.2, -0.95, 1097527, 1097527
2, 55000, 0.5, -0.825, 1223880, 1223880
2, 60000, 0.0, -0.975, 1354546, 1354546
2, 65000, 0.175, -0.95, 1481992, 1481992
2, 70000, 0.3, -0.85, 1608180, 1608180
2, 75000, 0.3, -0.95, 1736134, 1736134
2, 80000, 0.25, -0.875, 1863544, 1863544
2, 85000, 0.375, -0.875, 1997349, 1997349
2, 90000, 0.2, -0.024999999999999967, 2131781, 2131781
2, 95000, 0.35, -1.0, 2266995, 2266995
2, 100000, 0.0, -0.8, 2404512, 2404512
2, 105000, 0.475, -0.725, 2540853, 2540853
2, 110000, 0.75, 0.575, 2675176, 2675176
2, 115000, 0.8, 0.37500000000000006, 2808786, 2808786
2, 120000, 0.45, -0.8, 2947322, 2947322
2, 125000, 0.7, -0.875, 3086424, 3086424
2, 130000, 0.625, -0.55, 3228671, 3228671
2, 135000, 0.275, -0.725, 3364805, 3364805
2, 140000, 0.775, 0.8, 3508133, 3508133
2, 145000, 0.0, -0.925, 3647196, 3647196
2, 150000, 0.475, 0.55, 3788712, 3788712
2, 155000, 0.325, -1.0, 3928863, 3928863
2, 160000, 0.575, -0.9, 4066398, 4066398
2, 165000, 0.5, 0.175, 4210225, 4210225
2, 170000, 0.775, 0.37500000000000006, 4353864, 4353864
2, 175000, 0.825, 0.65, 4495885, 4495885
2, 180000, 0.575, -0.925, 4640357, 4640357
2, 185000, 0.45, 0.55, 4787741, 4787741
2, 190000, 0.275, 0.35000000000000003, 4935386, 4935386
2, 195000, 0.4, -0.575, 5083601, 5083601
2, 200000, 0.6, 0.825, 5231142, 5231142
2, 205000, 0.725, -0.85, 5379870, 5379870
2, 210000, 0.6, 1.0, 5529668, 5529668
2, 215000, 0.6, 0.875, 5677774, 5677774
2, 220000, 0.875, 0.8250000000000001, 5823097, 5823097
2, 225000, 0.4, -0.55, 5971813, 5971813
2, 230000, 0.35, -0.825, 6117507, 6117507
2, 235000, 0.525, -0.8, 6264118, 6264118
2, 240000, 0.65, -0.85, 6412375, 6412375
2, 245000, 0.35, 0.575, 6568974, 6568974
2, 250000, 0.75, 0.75, 6719214, 6719214
2, 255000, 0.85, 0.8500000000000001, 6864430, 6864430
2, 260000, 0.725, 0.47500000000000003, 7013629, 7013629
2, 265000, 0.85, 0.85, 7159247, 7159247
2, 270000, 0.95, 0.725, 7306964, 7306964
2, 275000, 0.7, 0.04999999999999999, 7455500, 7455500
2, 280000, 0.875, 0.95, 7604346, 7604346
2, 285000, 0.375, -0.675, 7762038, 7762038
2, 290000, 0.625, -0.625, 7917743, 7917743
2, 295000, 0.65, -0.625, 8081070, 8081070
2, 300000, 0.575, -0.775, 8237730, 8237730
