TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 290000, 0.40625, -0.875, 7990741, 7990741, 1051.8390000000002, 7596.924053966432
0, 295000, 0.46875, -0.675, 8149480, 8149480, 1072.3880000000001, 7599.376345128814
0, 300000, 0.4375, -0.85, 8311796, 8311796, 1093.229, 7602.977967104787
0, 305000, 0.5625, 0.6499999999999999, 8472995, 8472995, 1113.952, 7606.247845508604
0, 310000, 0.625, 0.875, 8625361, 8625361, 1133.495, 7609.52717038893
0, 315000, 0.375, -0.575, 8785675, 8785675, 1153.975, 7613.401503498777
0, 320000, 0.75, -0.875, 8942112, 8942112, 1173.8999999999999, 7617.439304881166
0, 325000, 0.65625, 0.775, 9099187, 9099187, 1193.8999999999999, 7621.397939525924
0, 330000, 0.875, 0.775, 9245861, 9245861, 1212.494, 7625.490105518048
0, 335000, 0.625, -0.85, 9404856, 9404856, 1232.907, 7628.195800656497
0, 340000, 0.65625, -0.8, 9572803, 9572803, 1254.6209999999999, 7630.035684083083
0, 345000, 0.8125, 0.275, 9733016, 9733016, 1275.2459999999999, 7632.265460938518
0, 350000, 0.875, 0.85, 9883851, 9883851, 1294.5169999999998, 7635.16508473817
0, 355000, 0.8125, 0.9, 10033521, 10033521, 1313.5309999999997, 7638.587136504583
0, 360000, 0.53125, 0.875, 10189181, 10189181, 1333.2819999999997, 7642.179973928998
0, 365000, 0.59375, 0.75, 10342802, 10342802, 1352.7419999999997, 7645.805334646224
0, 370000, 0.75, 0.85, 10489675, 10489675, 1371.4239999999998, 7648.746849989501
0, 375000, 0.8125, -0.875, 10650079, 10650079, 1392.3349999999998, 7649.077987696927
