controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 245000, 0.9375, 0.775, 6661359, 6661359, 465.7790000000001, 14301.544294611818
0, 250000, 1.0, -0.8, 6809907, 6809907, 476.7460000000001, 14284.140821317847
0, 255000, 0.96875, 0.625, 6961862, 6961862, 487.4050000000001, 14283.526020455265
0, 260000, 0.90625, -0.65, 7119201, 7119201, 498.6520000000001, 14276.89250218589
0, 265000, 1.0, 0.75, 7275008, 7275008, 509.7350000000001, 14272.137483202052
0, 270000, 0.9375, 0.525, 7426640, 7426640, 520.3950000000001, 14271.159407757566
0, 275000, 0.9375, 0.725, 7575980, 7575980, 531.1690000000001, 14262.842899340885
0, 280000, 1.0, 0.9249999999999999, 7728857, 7728857, 542.0050000000001, 14259.752216307965
0, 285000, 0.96875, 0.95, 7877124, 7877124, 552.6960000000001, 14252.182031351771
0, 290000, 0.9375, 0.95, 8023535, 8023535, 563.4880000000002, 14239.05211823499
0, 295000, 0.8125, 0.8250000000000001, 8174380, 8174380, 573.9390000000002, 14242.593725117124
0, 300000, 0.875, 0.8500000000000001, 8324934, 8324934, 584.9550000000002, 14231.751160345664
0, 305000, 1.0, 0.95, 8474085, 8474085, 595.3170000000001, 14234.575864623383
0, 310000, 1.0, -0.07499999999999996, 8626183, 8626183, 606.4750000000001, 14223.476647842035
0, 315000, 0.90625, 0.725, 8774942, 8774942, 616.7560000000001, 14227.574600003889
0, 320000, 1.0, 0.275, 8928173, 8928173, 627.6580000000001, 14224.582495562867
0, 325000, 0.9375, 0.8500000000000001, 9076121, 9076121, 637.7720000000002, 14230.980663936325
0, 330000, 0.9375, 0.95, 9230695, 9230695, 648.2790000000001, 14238.769110213347
0, 335000, 0.9375, 0.95, 9385795, 9385795, 659.5880000000001, 14229.784350230748
0, 340000, 1.0, 0.8500000000000001, 9538013, 9538013, 670.0570000000001, 14234.62929273181
0, 345000, 0.9375, -0.775, 9693606, 9693606, 680.8450000000001, 14237.610616219548
0, 350000, 0.875, -0.425, 9862319, 9862319, 692.3610000000001, 14244.475064308936
0, 355000, 1.0, -0.7, 10039054, 10039054, 703.9220000000001, 14261.600006818935
0, 360000, 0.96875, -0.4, 10219267, 10219267, 716.1750000000002, 14269.231682200576
0, 365000, 1.0, -0.875, 10381836, 10381836, 728.4880000000002, 14251.210726875388
0, 370000, 1.0, 0.8500000000000001, 10538870, 10538870, 738.9970000000002, 14261.045714664602
0, 375000, 1.0, 0.9, 10689469, 10689469, 749.5280000000001, 14261.600633998994
0, 380000, 1.0, 0.975, 10843760, 10843760, 760.6620000000001, 14255.68780877709
0, 385000, 1.0, 0.8999999999999999, 11001401, 11001401, 771.7990000000002, 14254.230699962032
0, 390000, 0.90625, 1.0, 11151051, 11151051, 782.8370000000002, 14244.409755798457
