controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=evalAB5, evalT=evalAB
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
1, 180000, 0.525, -0.20000000000000007, 4640227, 5050743;;;;;;;;;;;
1, 185000, 0.7, -0.04999999999999999, 4784025, 5204173;;;;;;;;;;;
1, 190000, 0.5, -0.07499999999999996, 4929435, 5359479;;;;;;;;;;;
1, 195000, 0.825, 0.17500000000000004, 5081719, 5521745;;;;;;;;;;;
1, 200000, 0.425, -0.09999999999999998, 5231407, 5681108;;;;;;;;;;;
1, 205000, 0.475, 0.4, 5382513, 5841824;;;;;;;;;;;
1, 210000, 0.1, 0.25, 5530648, 5999188;;;;;;;;;;;
1, 215000, 0.45, 0.47500000000000003, 5684398, 6162234;;;;;;;;;;;
1, 220000, 0.45, 0.050000000000000044, 5843747, 6331144;;;;;;;;;;;
1, 225000, 0.45, -0.125, 5991599, 6487562;;;;;;;;;;;
1, 230000, 0.8, -0.125, 6144832, 6649629;;;;;;;;;;;
1, 235000, 0.75, 0.35000000000000003, 6302146, 6815697;;;;;;;;;;;
1, 240000, 0.75, -0.09999999999999998, 6464973, 6987569;;;;;;;;;;;
1, 245000, 0.775, 0.6499999999999999, 6629075, 7160428;;;;;;;;;;;
1, 250000, 0.5, -0.85, 6792784, 7332720;;;;;;;;;;;
1, 255000, 0.775, 0.42499999999999993, 6929210, 7476363;;;;;;;;;;;
1, 260000, 0.75, 0.3, 7070366, 7624817;;;;;;;;;;;
1, 265000, 0.525, 0.8999999999999999, 7216233, 7778085;;;;;;;;;;;
1, 270000, 0.675, 0.9, 7353110, 7921657;;;;;;;;;;;
1, 275000, 0.7, 0.625, 7491823, 8067079;;;;;;;;;;;
1, 280000, 0.825, 0.8999999999999999, 7634676, 8216598;;;;;;;;;;;
1, 285000, 0.8, 0.10000000000000003, 7783105, 8371714;;;;;;;;;;;
1, 290000, 0.725, 0.8, 7926051, 8521013;;;;;;;;;;;
1, 295000, 0.825, 0.625, 8064068, 8665116;;;;;;;;;;;
1, 300000, 0.925, 0.8500000000000001, 8208264, 8815343;;;;;;;;;;;
1, 305000, 0.75, 0.9249999999999999, 8348203, 8960974;;;;;;;;;;;
1, 310000, 0.7, 0.8999999999999999, 8489467, 9107942;;;;;;;;;;;
1, 315000, 0.8, 0.9249999999999999, 8623833, 9247547;;;;;;;;;;;
1, 320000, 0.675, 0.775, 8769546, 9398737;;;;;;;;;;;
1, 325000, 0.9, 0.975, 8915060, 9549680;;;;;;;;;;;
1, 330000, 0.85, 0.8500000000000001, 9068862, 9709010;;;;;;;;;;;
1, 335000, 0.825, 0.8500000000000001, 9228101, 9873594;;;;;;;;;;;
1, 340000, 0.7, 0.9249999999999999, 9372068, 10022349;;;;;;;;;;;
1, 345000, 0.575, 0.8999999999999999, 9511222, 10166024;;;;;;;;;;;
1, 350000, 0.825, 0.15000000000000002, 9652849, 10312098;;;;;;;;;;;
1, 355000, 0.8, 0.75, 9802137, 10465870;;;;;;;;;;;
1, 360000, 0.7, 0.8999999999999999, 9951726, 10619794;;;;;;;;;;;
1, 365000, 0.65, 0.85, 10098566, 10770760;;;;;;;;;;;
1, 370000, 0.7, 0.3, 10260638, 10937264;;;;;;;;;;;
1, 375000, 0.725, 0.575, 10436008, 11117199;;;;;;;;;;;
1, 380000, 0.65, 0.7000000000000001, 10608772, 11294233;;;;;;;;;;;
1, 385000, 0.725, 0.39999999999999997, 10754773, 11443764;;;;;;;;;;;
1, 390000, 0.725, 0.9, 10911123, 11603762;;;;;;;;;;;
1, 395000, 0.75, 0.44999999999999996, 11055853, 11751642;;;;;;;;;;;
1, 400000, 0.675, 0.95, 11212293, 11911303;;;;;;;;;;;
1, 405000, 0.725, 1.0, 11363941, 12065926;;;;;;;;;;;
1, 410000, 0.775, 0.625, 11518175, 12223106;;;;;;;;;;;
1, 415000, 0.825, 0.475, 11686811, 12394781;;;;;;;;;;;
1, 420000, 0.75, 0.9, 11834670, 12545187;;;;;;;;;;;
1, 425000, 0.825, 0.025000000000000022, 12003623, 12716812;;;;;;;;;;;
1, 430000, 0.775, 0.95, 12165145, 12880722;;;;;;;;;;;
1, 435000, 0.75, 0.7, 12306378, 13023838;;;;;;;;;;;
1, 440000, 0.725, 0.75, 12459314, 13178709;;;;;;;;;;;
1, 445000, 0.725, 0.9249999999999999, 12618720, 13339958;;;;;;;;;;;
1, 450000, 0.8, 0.8500000000000001, 12765539, 13488351;;;;;;;;;;;
1, 455000, 0.7, 0.95, 12916690, 13641005;;;;;;;;;;;
1, 460000, 0.725, 0.8500000000000001, 13083675, 13809400;;;;;;;;;;;
1, 465000, 0.75, 0.8, 13248901, 13975816;;;;;;;;;;;
1, 470000, 0.7, 0.75, 13404611, 14132551;;;;;;;;;;;
1, 475000, 0.7, 0.7999999999999999, 13581084, 14309981;;;;;;;;;;;
1, 480000, 0.775, 0.9249999999999999, 13747736, 14477428;;;;;;;;;;;
1, 485000, 0.8, 0.8500000000000001, 13903768, 14634026;;;;;;;;;;;
1, 490000, 0.8, 0.8999999999999999, 14047789, 14778414;;;;;;;;;;;
1, 495000, 0.725, 0.6749999999999999, 14225702, 14956586;;;;;;;;;;;
1, 500000, 0.725, 0.55, 14407663, 15138644;;;;;;;;;;;
2, 5000, 0.2, -0.975, 89925, 99818;;;;;;;;;;;
2, 10000, 0.375, -0.95, 190481, 211436;;;;;;;;;;;
2, 15000, 0.4, -0.525, 295895, 328127;;;;;;;;;;;
2, 20000, 0.175, -0.95, 407784, 452183;;;;;;;;;;;
2, 25000, 0.225, -0.125, 522046, 578437;;;;;;;;;;;
2, 30000, 0.35, 0.0, 634370, 702723;;;;;;;;;;;
2, 35000, 0.5, 0.19999999999999996, 747994, 828045;;;;;;;;;;;
2, 40000, 0.45, -0.9, 866026, 957942;;;;;;;;;;;
2, 45000, 0.5, -0.85, 981142, 1084658;;;;;;;;;;;
2, 50000, 0.425, -0.675, 1101111, 1216492;;;;;;;;;;;
2, 55000, 0.425, -0.35, 1222801, 1350303;;;;;;;;;;;
2, 60000, 0.45, 0.5, 1350293, 1490156;;;;;;;;;;;
2, 65000, 0.625, 0.24999999999999994, 1476947, 1629045;;;;;;;;;;;
2, 70000, 0.625, 0.35000000000000003, 1607041, 1771294;;;;;;;;;;;
2, 75000, 0.15, 0.35000000000000003, 1737067, 1913518;;;;;;;;;;;
2, 80000, 0.725, -0.45000000000000007, 1869061, 2057677;;;;;;;;;;;
2, 85000, 0.675, 0.575, 2000758, 2201303;;;;;;;;;;;
2, 90000, 0.7, 0.14999999999999997, 2137584, 2350438;;;;;;;;;;;
2, 95000, 0.475, 0.37500000000000006, 2275233, 2500306;;;;;;;;;;;
2, 100000, 0.125, 0.35000000000000003, 2418581, 2656330;;;;;;;;;;;
2, 105000, 0.45, 0.25, 2553115, 2802570;;;;;;;;;;;
2, 110000, 0.5, -0.875, 2689110, 2950293;;;;;;;;;;;
2, 115000, 0.525, -0.09999999999999998, 2827506, 3100397;;;;;;;;;;;
2, 120000, 0.9, 0.10000000000000003, 2966354, 3250582;;;;;;;;;;;
2, 125000, 0.5, -0.30000000000000004, 3104210, 3399453;;;;;;;;;;;
2, 130000, 0.8, 0.44999999999999996, 3240890, 3547065;;;;;;;;;;;
2, 135000, 0.925, 0.44999999999999996, 3381234, 3698786;;;;;;;;;;;
2, 140000, 0.775, 0.25, 3521509, 3849932;;;;;;;;;;;
2, 145000, 0.8, 0.025000000000000022, 3662526, 4002029;;;;;;;;;;;
2, 150000, 0.825, 0.17499999999999993, 3805687, 4155982;;;;;;;;;;;
2, 155000, 0.75, -0.24999999999999994, 3947439, 4308494;;;;;;;;;;;
2, 160000, 0.7, 0.47500000000000003, 4087601, 4458944;;;;;;;;;;;
2, 165000, 0.85, 0.5, 4227915, 4609546;;;;;;;;;;;
2, 170000, 0.6, 0.32499999999999996, 4369050, 4760858;;;;;;;;;;;
2, 175000, 0.45, 0.050000000000000044, 4509032, 4910602;;;;;;;;;;;
2, 180000, 0.5, 0.55, 4665132, 5077802;;;;;;;;;;;
2, 185000, 0.5, 0.25, 4811126, 5233704;;;;;;;;;;;
2, 190000, 0.7, -0.575, 4952137, 5384205;;;;;;;;;;;
2, 195000, 0.925, 0.47500000000000003, 5097556, 5539218;;;;;;;;;;;
2, 200000, 0.725, 0.375, 5239286, 5690191;;;;;;;;;;;
2, 205000, 0.575, 0.375, 5376427, 5836041;;;;;;;;;;;
2, 210000, 0.475, 0.07500000000000001, 5512937, 5981033;;;;;;;;;;;
2, 215000, 0.525, -0.04999999999999999, 5655357, 6132086;;;;;;;;;;;
2, 220000, 0.425, -0.09999999999999998, 5804984, 6290684;;;;;;;;;;;
2, 225000, 0.5, -0.04999999999999999, 5952655, 6447082;;;;;;;;;;;
2, 230000, 0.45, -0.025000000000000022, 6103522, 6606590;;;;;;;;;;;
2, 235000, 0.55, 0.14999999999999997, 6254188, 6765739;;;;;;;;;;;
