TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -1.0, rewPos: 1.0
from: Unknown
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; rewardPos; stepReward
0; 1800000; 0.713076923076923; 0.0; 17438030; 17438030; 1674.249; 10415.43402444917; 1.0E-4; -0.04
0; 1850000; 0.7173076923076924; 0.0; 17892248; 17892248; 1717.54; 10417.369027795568; 1.0E-4; -0.04
0; 1900000; 0.7053846153846153; 0.0; 18347160; 18347160; 1760.41; 10422.094852903585; 1.0E-4; -0.04
0; 1950000; 0.7157692307692307; 0.0; 18800939; 18800939; 1803.62; 10424.002284294918; 1.0E-4; -0.04
0; 2000000; 0.7153846153846154; 0.0; 19256019; 19256019; 1847.18; 10424.549313006853; 1.0E-4; -0.04
0; 2050000; 0.7173076923076924; 0.0; 19709775; 19709775; 1890.522; 10425.572936998353; 1.0E-4; -0.04
0; 2100000; 0.7103846153846154; 0.0; 20160882; 20160882; 1933.341; 10428.001061375102; 1.0E-4; -0.04
0; 2150000; 0.7203846153846155; 0.0; 20611717; 20611717; 1976.121; 10430.392167281254; 1.0E-4; -0.04
0; 2200000; 0.7103846153846154; 0.0; 21063720; 21063720; 2019.207; 10431.679367197123; 1.0E-4; -0.04
0; 2250000; 0.7123076923076925; 0.0; 21518145; 21518145; 2062.448; 10433.303045701032; 1.0E-4; -0.04
0; 2300000; 0.7157692307692307; 0.0; 21973350; 21973350; 2106.174; 10432.82748718767; 1.0E-4; -0.04
0; 2350000; 0.7119230769230769; 0.0; 22423322; 22423322; 2149.085; 10433.892563579384; 1.0E-4; -0.04
0; 2400000; 0.7203846153846154; 0.0; 22875360; 22875360; 2191.798; 10436.801201570584; 1.0E-4; -0.04
0; 2450000; 0.7099999999999999; 0.0; 23327378; 23327378; 2234.599; 10439.178572978864; 1.0E-4; -0.04
0; 2500000; 0.7134615384615385; 0.0; 23779319; 23779319; 2277.073; 10442.932220442648; 1.0E-4; -0.04
0; 2550000; 0.7123076923076923; 0.0; 24231020; 24231020; 2319.864; 10445.017466541141; 1.0E-4; -0.04
0; 2600000; 0.7211538461538459; 0.0; 24677848; 24677848; 2363.314; 10442.052135264295; 1.0E-4; -0.04
0; 2650000; 0.7126923076923076; 0.0; 25129028; 25129028; 2406.526; 10442.03470064317; 1.0E-4; -0.04
0; 2700000; 0.7188461538461539; 0.0; 25577742; 25577742; 2448.7; 10445.43717074366; 1.0E-4; -0.04
0; 2750000; 0.7153846153846154; 0.0; 26024851; 26024851; 2490.801; 10448.38628216385; 1.0E-4; -0.04
0; 2800000; 0.7253846153846154; 0.0; 26475002; 26475002; 2533.198; 10451.216999223907; 1.0E-4; -0.04
0; 2850000; 0.7296153846153847; 0.0; 26922381; 26922381; 2575.334; 10453.93762517794; 1.0E-4; -0.04
0; 2900000; 0.7173076923076922; 0.0; 27370341; 27370341; 2617.719; 10455.797967619901; 1.0E-4; -0.04
0; 2950000; 0.7303846153846153; 0.0; 27818235; 27818235; 2659.912; 10458.329072540746; 1.0E-4; -0.04
0; 3000000; 0.7219230769230768; 0.0; 28266305; 28266305; 2702.527; 10459.21280342435; 1.0E-4; -0.04
1; 50000; 0.44961538461538453; 0.0; 752494; 752494; 84.972; 8855.787788918704; 1.0E-4; -0.04
1; 100000; 0.5353846153846155; 0.0; 1360905; 1360905; 149.166; 9123.42624994972; 1.0E-4; -0.04
1; 150000; 0.5776923076923077; 0.0; 1927084; 1927084; 207.46; 9288.94244673672; 1.0E-4; -0.04
1; 200000; 0.5953846153846153; 0.0; 2470362; 2470362; 262.354; 9416.140024546987; 1.0E-4; -0.04
1; 250000; 0.6123076923076923; 0.0; 2997448; 2997448; 314.978; 9516.37257205265; 1.0E-4; -0.04
1; 300000; 0.6230769230769232; 0.0; 3514998; 3514998; 366.739; 9584.467427789246; 1.0E-4; -0.04
1; 350000; 0.6123076923076923; 0.0; 4022757; 4022757; 417.297; 9640.033357536719; 1.0E-4; -0.04
1; 400000; 0.636923076923077; 0.0; 4522225; 4522225; 468.314; 9656.395068266163; 1.0E-4; -0.04
1; 450000; 0.6576923076923076; 0.0; 5023685; 5023685; 518.272; 9693.143754630772; 1.0E-4; -0.04
1; 500000; 0.6499999999999998; 0.0; 5519286; 5519286; 567.325; 9728.614110077997; 1.0E-4; -0.04
1; 550000; 0.6588461538461539; 0.0; 6009140; 6009140; 615.565; 9761.991016383321; 1.0E-4; -0.04
1; 600000; 0.6703846153846155; 0.0; 6495384; 6495384; 663.318; 9792.262534711857; 1.0E-4; -0.04
1; 650000; 0.676923076923077; 0.0; 6979218; 6979218; 711.008; 9815.948625050632; 1.0E-4; -0.04
1; 700000; 0.6673076923076924; 0.0; 7463806; 7463806; 758.737; 9837.14515042762; 1.0E-4; -0.04
1; 750000; 0.6765384615384614; 0.0; 7944833; 7944833; 806.151; 9855.266569166322; 1.0E-4; -0.04
1; 800000; 0.6765384615384615; 0.0; 8422488; 8422488; 853.275; 9870.777885206997; 1.0E-4; -0.04
1; 850000; 0.668076923076923; 0.0; 8900637; 8900637; 900.29; 9886.411045329838; 1.0E-4; -0.04
1; 900000; 0.6853846153846154; 0.0; 9374143; 9374143; 946.901; 9899.813180047333; 1.0E-4; -0.04
1; 950000; 0.6776923076923077; 0.0; 9848849; 9848849; 993.804; 9910.252927136538; 1.0E-4; -0.04
1; 1000000; 0.6823076923076923; 0.0; 10323469; 10323469; 1041.526; 9911.868738754481; 1.0E-4; -0.04
1; 1050000; 0.681153846153846; 0.0; 10794973; 10794973; 1089.841; 9905.089825029523; 1.0E-4; -0.04
1; 1100000; 0.6903846153846154; 0.0; 11261163; 11261163; 1136.614; 9907.640588625514; 1.0E-4; -0.04
1; 1150000; 0.6838461538461538; 0.0; 11729586; 11729586; 1183.621; 9909.917110291215; 1.0E-4; -0.04
