controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
3, 140000, 0.3333333333333333, 0.9166666666666666, 0.0, 1407633, 2118052
3, 150000, 1.0, 0.8333333333333334, 0.0, 1558139, 2258558
4, 10000, 0.0, 0.0, 0.0, 19876, 200596
4, 20000, 0.0, 0.41666666666666663, 0.0, 57665, 387691
4, 30000, 1.0, 0.5, 0.0, 110949, 561663
4, 40000, 1.0, 0.6666666666666666, 0.0, 178279, 725478
4, 50000, 1.0, 0.8333333333333334, 0.0, 258078, 881462
4, 60000, 1.0, 1.0, 0.0, 350086, 1031167
4, 70000, 1.0, 0.8333333333333333, 0.0, 452688, 1173366
4, 80000, 1.0, 1.0, 0.0, 567733, 1313964
4, 90000, 1.0, 0.9166666666666666, 0.0, 699591, 1457110
4, 100000, 1.0, 0.9166666666666666, 0.0, 848814, 1603656
4, 110000, 1.0, 1.0, 0.0, 1007412, 1752254
4, 120000, 1.0, 1.0, 0.0, 1159163, 1894005
4, 130000, 1.0, 0.9166666666666666, 0.0, 1310074, 2034916
4, 140000, 1.0, 1.0, 0.0, 1462015, 2176857
4, 150000, 1.0, 0.9166666666666666, 0.0, 1628945, 2333787
5, 10000, 0.0, 0.0, 0.0, 20112, 200611
5, 20000, 0.6666666666666666, 0.16666666666666666, 0.0, 58217, 388674
5, 30000, 1.0, 0.5, 0.0, 112233, 564468
5, 40000, 1.0, 0.75, 0.0, 179360, 727901
5, 50000, 1.0, 0.9166666666666666, 0.0, 259120, 883061
5, 60000, 1.0, 1.0, 0.0, 351034, 1032035
5, 70000, 1.0, 0.9166666666666666, 0.0, 454804, 1176017
5, 80000, 1.0, 1.0, 0.0, 570470, 1316993
5, 90000, 1.0, 1.0, 0.0, 704149, 1462442
5, 100000, 1.0, 0.9166666666666666, 0.0, 848148, 1603683
5, 110000, 1.0, 0.75, 0.0, 999996, 1745531
5, 120000, 1.0, 0.8333333333333333, 0.0, 1151870, 1887405
5, 130000, 1.0, 1.0, 0.0, 1294206, 2019741
5, 140000, 1.0, 0.5833333333333333, 0.0, 1443940, 2159475
5, 150000, 1.0, 0.6666666666666666, 0.0, 1584956, 2290491
6, 10000, 0.0, 0.0, 0.0, 19942, 200726
6, 20000, 0.0, 0.0, 0.0, 57908, 387595
6, 30000, 1.0, 0.41666666666666663, 0.0, 111343, 561318
6, 40000, 0.6666666666666666, 0.6666666666666666, 0.0, 178699, 725628
6, 50000, 1.0, 0.9166666666666666, 0.0, 259035, 881910
6, 60000, 1.0, 0.8333333333333333, 0.0, 350542, 1030215
6, 70000, 1.0, 0.8333333333333333, 0.0, 454186, 1173787
