TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: 1;;;;;;;;;
from: TCL4-p13-ET16-3000k-120-7t-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ucol1; ucol2 
2;200000;0.628846154;0.642307692;1718361;1718360;157.282;10925.35064;0;0
2;300000;0.653461538;0.659615385;2532763;2532762;231.704;10931.02838;0;0
2;400000;0.671153846;0.667692308;3337139;3337138;305.584;10920.52922;0;0
2;500000;0.676538462;0.675384615;4133678;4133677;378.489;10921.52744;0;0
2;600000;0.689615385;0.686153846;4924876;4924875;450.692;10927.36503;0;0
2;700000;0.678846154;0.687692308;5711389;5711388;522.561;10929.61205;0;0
2;800000;0.705;0.7;6494427;6494426;594.068;10932.1273;0;0
2;900000;0.696153846;0.694230769;7272021;7272020;666.048;10918.16356;0;0
2;1000000;0.692307692;0.690384615;8044905;8044904;735.778;10933.87544;0;0
2;1100000;0.696923077;0.700769231;8818457;8818456;805.781;10943.98726;0;0
2;1200000;0.704230769;0.703461538;9592309;9592308;875.632;10954.72641;0;0
2;1300000;0.696153846;0.696153846;10362461;10362460;945.829;10955.9561;0;0
2;1400000;0.708076923;0.704230769;11134120;11134119;1016.54;10952.95807;0;0
2;1500000;0.704230769;0.706153846;11896178;11896177;1087.684;10937.16374;0;0
2;1600000;0.706153846;0.716923077;12662938;12662937;1158.302;10932.32853;0;0
2;1700000;0.723461538;0.711153846;13426845;13426844;1228.873;10926.14534;0;0
2;1800000;0.711923077;0.714615385;14191533;14191532;1299.73;10918.8316;0;0
2;1900000;0.727692308;0.712692308;14950133;14950132;1369.884;10913.4299;0;0
2;2000000;0.711538462;0.711923077;15712340;15712339;1440.179;10909.99105;0;0
2;2100000;0.703846154;0.707307692;16476370;16476369;1512.12;10896.20533;0;0
2;2200000;0.719230769;0.723461538;17234712;17234711;1582.292;10892.24492;0;0
2;2300000;0.715769231;0.725384615;17994562;17994561;1652.155;10891.5701;0;0
2;2400000;0.718846154;0.721153846;18754912;18754911;1722.049;10891.04433;0;0
2;2500000;0.726153846;0.723846154;19511299;19511298;1792.059;10887.64321;0;0
2;2600000;0.716923077;0.730384615;20270227;20270226;1862.271;10884.68166;0;0
2;2700000;0.711923077;0.709230769;21025396;21025395;1931.875;10883.4143;0;0
2;2800000;0.722692308;0.718076923;21782966;21782965;2001.892;10881.18939;0;0
2;2900000;0.731923077;0.723461538;22537240;22537239;2071.493;10879.7085;0;0
2;3000000;0.721923077;0.729615385;23293350;23293349;2140.63;10881.53955;0;0
0;10000;0.509230769;0;100393;100393;12.454;8061.104866;0;0
0;20000;0.548076923;0;192212;192212;22.634;8492.179906;0;0
0;30000;0.563461538;0;281898;281898;32.737;8610.990622;0;0
0;40000;0.588076923;0;369537;369537;42.391;8717.345663;0;0
0;50000;0.591923077;0;456448;456448;52.043;8770.593548;0;0
0;60000;0.598076923;0;542669;542669;61.993;8753.714129;0;0
0;70000;0.609230769;0;629412;629412;71.473;8806.290487;0;0
0;80000;0.609230769;0;714474;714474;81.058;8814.355153;0;0
0;90000;0.618076923;0;798811;798811;90.277;8848.444233;0;0
1;10000;0.509615385;0;99449;99449;15.857;6271.61506;0;0
1;20000;0.539230769;0;193486;193486;31.373;6167.277595;0;0
1;30000;0.564230769;0;284191;284191;46.451;6118.081419;0;0
1;40000;0.565384615;0;374026;374026;61.069;6124.645892;0;0
1;50000;0.578461538;0;462300;462300;75.914;6089.78581;0;0
1;60000;0.583461538;0;548979;548979;90.792;6046.556965;0;0
1;70000;0.605384615;0;635254;635254;104.658;6069.808328;0;0
1;80000;0.608846154;0;720060;720060;119.672;6016.94632;0;0
1;90000;0.624615385;0;805122;805122;133.336;6038.294234;0;0
2;10000;0.516923077;0;98032;98032;16.675;5878.98051;0;0
2;20000;0.554615385;0;191416;191416;31.224;6130.412503;0;0
2;30000;0.564230769;0;281401;281401;45.586;6172.969771;0;0
2;40000;0.579230769;0;371091;371091;60.864;6097.052445;0;0
2;50000;0.594615385;0;459002;459002;74.39;6170.21105;0;0
2;60000;0.586538462;0;546062;546062;88.231;6189.003865;0;0
2;70000;0.595;0;631374;631374;101.866;6198.083757;0;0
2;80000;0.611538462;0;717515;717515;115.218;6227.455779;0;0
