TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;;
from: TCL4-p13-ET16-3000k-120-7t-nsym16-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond;  ucol1; ucol2 
1;300000;0.770769231;0;2230959;2230959;4014.634;555.706697;0;0
1;400000;0.775;0;2947321;2947321;5265.456;559.7465823;0;0
1;500000;0.78;0;3663304;3663304;6535.585;560.5166179;0;0
1;600000;0.784615385;0;4376934;4376934;7767.317;563.5065493;0;0
1;700000;0.784230769;0;5085077;5085077;9003.179;564.8090524;0;0
1;800000;0.797692308;0;5791601;5791601;10250.366;565.0140688;0;0
1;900000;0.794615385;0;6500021;6500021;11555.989;562.4807189;0;0
1;1000000;0.793076923;0;7204444;7204444;12789.627;563.3036835;0;0
1;1100000;0.782307692;0;7911092;7911092;14078.085;561.9437587;0;0
1;1200000;0.786538462;0;8615107;8615107;15371.534;560.4585073;0;0
1;1300000;0.799615385;0;9318986;9318986;16578.983;562.0963602;0;0
1;1400000;0.805769231;0;10022050;10022050;17810.426;562.7069223;0;0
1;1500000;0.803846154;0;10722797;10722797;19005.764;564.1865805;0;0
1;1600000;0.805;0;11421143;11421143;20323.228;561.9748497;0;0
1;1700000;0.798461538;0;12120478;12120478;21579.527;561.6656009;0;0
1;1800000;0.807307692;0;12819915;12819915;22795.74;562.3820503;0;0
1;1900000;0.796153846;0;13517547;13517547;24021.32;562.7312321;0;0
1;2000000;0.803846154;0;14212987;14212987;25222.049;563.5143679;0;0
1;2100000;0.798461538;0;14909902;14909902;26436.17;563.9962975;0;0
1;2200000;0.796923077;0;15605127;15605127;27628.084;564.8284188;0;0
1;2300000;0.81;0;16299294;16299294;28851.637;564.9348077;0;0
1;2400000;0.812307692;0;16994918;16994918;30067.718;565.2214112;0;0
1;2500000;0.81;0;17690092;17690092;31245.775;566.1594888;0;0
1;2600000;0.805769231;0;18385144;18385144;32468.494;566.2456657;0;0
1;2700000;0.818461538;0;19077745;19077745;33676.368;566.5024506;0;0
1;2800000;0.804230769;0;19770969;19770969;34877.625;566.866838;0;0
1;2900000;0.811538462;0;20463418;20463418;36109.687;566.7016167;0;0
1;3000000;0.803846154;0;21156120;21156120;37266.768;567.6939841;0;0
2;100000;0.758461538;0;773157;773157;1331.882;580.4996238;0;0
2;200000;0.774230769;0;1505406;1505406;2590.083;581.2192119;0;0
2;300000;0.767307692;0;2228437;2228437;3828.428;582.0762464;0;0
2;400000;0.795384615;0;2946102;2946102;5040.724;584.4600895;0;0
2;500000;0.787692308;0;3659242;3659242;6278.397;582.8306174;0;0
2;600000;0.786153846;0;4371999;4371999;7489.007;583.7888788;0;0
2;700000;0.790384615;0;5081402;5081402;8681.469;585.3159183;0;0
2;800000;0.794230769;0;5785919;5785919;9912.504;583.6990331;0;0
2;900000;0.795;0;6485893;6485893;11116.071;583.4699149;0;0
2;1000000;0.793461538;0;7187387;7187387;12305.55;584.0768596;0;0
2;1100000;0.798076923;0;7888042;7888042;13535.215;582.779217;0;0
2;1200000;0.804615385;0;8590852;8590852;14772.21;581.5549603;0;0
2;1300000;0.804230769;0;9290994;9290994;15969.94;581.7801444;0;0
2;1400000;0.795384615;0;9989799;9989799;17165.601;581.9661659;0;0
2;1500000;0.803076923;0;10687326;10687326;18348.481;582.4638018;0;0
2;1600000;0.805384615;0;11385757;11385757;19524.239;583.1600914;0;0
2;1700000;0.813846154;0;12079160;12079160;20704.109;583.4184895;0;0
2;1800000;0.795384615;0;12773768;12773768;21944.076;582.1055304;0;0
2;1900000;0.799230769;0;13471590;13471590;23145.845;582.0305977;0;0
2;2000000;0.796923077;0;14168347;14168347;24333.406;582.2590968;0;0
