TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;;
from: TCL4-p13-ET16-3000k-120-7t-nsym08-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ucol1; ucol2 
2;2200000;0.775384615;0;16565358;16565358;14242.632;1163.082638;0;0
2;2300000;0.782307692;0;17290938;17290938;14863.968;1163.278742;0;0
2;2400000;0.785;0;18022369;18022369;15490.111;1163.475781;0;0
2;2500000;0.783461538;0;18749025;18749025;16111.033;1163.738228;0;0
2;2600000;0.785769231;0;19478091;19478091;16733.983;1163.984151;0;0
2;2700000;0.773461538;0;20202489;20202489;17351.238;1164.325508;0;0
2;2800000;0.775384615;0;20930147;20930147;17996.161;1163.033994;0;0
2;2900000;0.784615385;0;21655402;21655402;18625.165;1162.695847;0;0
2;3000000;0.780769231;0;22380304;22380304;19243.213;1163.023244;0;0
0;10000;0.634230769;0;93508;93508;81.392;1148.859839;0;0
0;20000;0.651538462;0;183092;183092;161.434;1134.16009;0;0
0;30000;0.678461538;0;271110;271110;241.953;1120.506875;0;0
0;40000;0.676153846;0;357579;357579;320.278;1116.464447;0;0
0;50000;0.678846154;0;443282;443282;397.906;1114.036984;0;0
0;60000;0.693461538;0;528164;528164;474.61;1112.837909;0;0
0;70000;0.685384615;0;611254;611254;549.565;1112.250598;0;0
0;80000;0.697692308;0;693724;693724;628.99;1102.917375;0;0
0;90000;0.704615385;0;776085;776085;704.457;1101.678314;0;0
1;10000;0.636538462;0;92293;92293;83.658;1103.217863;0;0
1;20000;0.657307692;0;180649;180649;163.671;1103.732488;0;0
1;30000;0.669230769;0;266705;266705;243.223;1096.545146;0;0
1;40000;0.679615385;0;352196;352196;322.531;1091.975655;0;0
1;50000;0.702692308;0;437192;437192;408.697;1069.721579;0;0
1;60000;0.689615385;0;520741;520741;485.922;1071.655533;0;0
